ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
44.0,LA GUAJIRA,44847,URIBIA,44847012.0,NAZARETH (URIBIA - LA GUAJIRA),2024,6,31835.0,6940.0,265.92,Viernes,06/07/2024 06:30:00 PM,4.46
47.0,MAGDALENA,47189,CIÉNAGA,47189018.0,PALMOR (CIÉNAGA - MAGDALENA),2024,6,88076.0,30120.0,169.22,Sábado,06/01/2024 11:45:00 AM,23.21
50.0,META,50325,MAPIRIPAN,50325000.0,MAPIRIPAN (MAPIRIPAN - META),2024,6,173757.0,58073.0,340.12,Lunes,06/17/2024 03:00:00 PM,24.0
52.0,NARIÑO,52250,EL CHARCO,52250016.0,ALTERÓN (URIBE URIBE) (EL CHARCO - NARIÑO),2024,6,554.0,347.0,6.43,Martes,06/04/2024 06:45:00 PM,3.43
52.0,NARIÑO,52250,EL CHARCO,52250005.0,LAS MERCEDES (EL CHARCO - NARIÑO),2024,6,983.0,873.0,12.58,Sábado,06/01/2024 07:00:00 PM,4.14
52.0,NARIÑO,52250,EL CHARCO,52250007.0,SAN JOSÉ DEL TAPAJE (EL CHARCO - NARIÑO),2024,6,9682.0,2920.0,64.0,Viernes,06/28/2024 08:15:00 PM,10.06
52.0,NARIÑO,52390,LA TOLA,52390005.0,AGUACATAL (LA TOLA - NARIÑO),2024,6,783.0,189.0,9.5,Domingo,06/30/2024 11:30:00 AM,3.27
52.0,NARIÑO,52390,LA TOLA,52390013.0,AMARALES (LA TOLA - NARIÑO),2024,6,8842.0,2662.0,51.46,Jueves,06/13/2024 12:15:00 PM,8.01
52.0,NARIÑO,52390,LA TOLA,52390003.0,LA VIGIA DE LA MAR (LA TOLA - NARIÑO),2024,6,4814.0,2215.0,21.64,Miércoles,06/26/2024 12:45:00 PM,9.5
52.0,NARIÑO,52390,LA TOLA,52390009.0,MULATOS (LA TOLA - NARIÑO),2024,6,4251.0,2656.0,28.99,Sábado,06/22/2024 06:45:00 PM,7.53
52.0,NARIÑO,52390,LA TOLA,52390016.0,SAN PABLO DEL MAR (LA TOLA - NARIÑO),2024,6,5924.0,2122.0,26.3,Sábado,06/15/2024 07:30:00 PM,10.03
52.0,NARIÑO,52427,MAGÜÍ,52427913.0,LA ISLA (MAGÜÍ - NARIÑO),2024,6,0.0,0.0,0.0,Sábado,06/01/2024 12:00:00 AM,0.0
52.0,NARIÑO,52427,MAGÜÍ,52427915.0,LAS LAJAS (MAGÜÍ - NARIÑO),2024,6,0.0,0.0,0.0,Sábado,06/01/2024 12:00:00 AM,0.0
52.0,NARIÑO,52473,MOSQUERA,52473010.0,EL BAJITO DE ECHANDÍA (MOSQUERA - NARIÑO),2024,6,1615.0,630.0,10.2,Jueves,06/13/2024 06:15:00 PM,7.03
52.0,NARIÑO,52490,OLAYA HERRERA,52490913.0,BOCA DE PRIETA (OLAYA HERRERA - NARIÑO),2024,6,2168.0,656.0,13.7,Sábado,06/29/2024 07:30:00 PM,6.19
52.0,NARIÑO,52621,ROBERTO PAYAN,52621912.0,TAMAJE (ROBERTO PAYAN - NARIÑO),2024,6,4778.0,2999.0,23.02,Domingo,06/16/2024 03:45:00 PM,8.54
52.0,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055.0,BOCAS DE CURAY (TUMACO - NARIÑO),2024,6,7922.0,2975.0,48.0,Viernes,06/07/2024 07:15:00 PM,7.19
52.0,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217.0,SAN JUAN DE LA COSTA (SAN ANDRÉS DE TUMACO - NARIÑO),2024,6,23815.0,9302.0,105.6,Viernes,06/07/2024 07:15:00 PM,10.42
52.0,NARIÑO,52696,SANTA BÁRBARA,52696014.0,LA ENSENADA (SANTA BÁRBARA - NARIÑO),2024,6,3102.0,2058.0,21.73,Martes,06/04/2024 06:45:00 PM,6.28
86.0,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009.0,PIÑUÑA NEGRO (PUERTO LEGUÍZAMO - PUTUMAYO),2024,6,2654.0,1590.0,22.4,Sábado,06/01/2024 07:00:00 PM,5.3
76.0,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069.0,PAPAYAL 1 (BUENAVENTURA - VALLE DEL CAUCA),2024,6,7207.0,1312.0,28.95,Martes,06/25/2024 08:00:00 PM,11.01
76.0,VALLE DEL CAUCA,76109,BUENAVENTURA,76109105.0,PITAL (BUENAVENTURA - VALLE DEL CAUCA),2024,6,2427.0,656.0,9.86,Domingo,06/09/2024 03:45:00 PM,9.42
76.0,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028.0,PUERTO MERIZALDE (BUENAVENTURA - VALLE DEL CAUCA),2024,6,103108.0,35909.0,21.26,Lunes,06/10/2024 07:45:00 PM,21.26
76.0,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081.0,PUNTA BONITA,2024,6,2799.0,3112.0,21.03,Sábado,06/29/2024 08:30:00 PM,6.28
76.0,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032.0,SAN FRANCISCO NAYA (BUENAVENTURA - VALLE DEL CAUCA),2024,6,8189.0,3084.0,42.59,Sábado,06/22/2024 11:45:00 AM,9.29
97.0,VAUPÉS,97161,CARURÚ,97161000.0,CARURÚ (CARURÚ - VAUPÉS),2024,6,20522.0,5140.0,82.1,Miércoles,06/12/2024 06:45:00 PM,11.58
97.0,VAUPÉS,97001,MITÚ,97001000.0,MITÚ (MITÚ - VAUPÉS),2024,6,1451772.0,366345.0,3028.54,Martes,06/18/2024 12:00:00 PM,24.0
97.0,VAUPÉS,97666,TARAIRA,97666000.0,TARAIRA (TARAIRA - VAUPÉS),2024,6,34830.0,9545.0,130.33,Miércoles,06/26/2024 12:00:00 PM,12.26
99.0,VICHADA,99001,PUERTO CARREÑO,99001000.0,PUERTO CARREÑO (PUERTO CARREÑO - VICHADA),2024,6,2188361.0,673372.0,4794.24,Domingo,06/02/2024 08:45:00 PM,23.56
91.0,AMAZONAS,91001,LETICIA,91001000.0,LETICIA (LETICIA - AMAZONAS),2024,1,4059524.0,1044021.0,7581.08,Miércoles,01/03/2024 02:30:00 PM,24.0
18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150001.0,REMOLINO DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,5,18848.0,8450.0,105.92,Sábado,05/11/2024 07:30:00 PM,7.4
18.0,CAQUETÁ,18150,CARTAGENA DEL CHAIRA,18150002.0,SANTA FE DEL CAGUAN (CARTAGENA DEL CHAIRA - CAQUETÁ),2024,5,4355.0,1963.0,40.0,Viernes,05/24/2024 06:30:00 PM,4.21
18.0,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,18753002.0,GUACAMAYAS (SAN VICENTE DEL CAGUÁN - CAQUETÁ),2024,5,8538.0,3679.0,34.37,Lunes,05/13/2024 06:45:00 PM,12.26
19.0,CAUCA,19318,GUAPI,19318008.0,LIMONES (GUAPI - CAUCA),2024,5,8580.0,3745.0,42.96,Miércoles,05/29/2024 07:15:00 PM,8.45
19.0,CAUCA,19318,GUAPI,19318013.0,SAN ANTONIO DE GUAJUI (GUAPI - CAUCA),2024,5,10561.0,6131.0,52.54,Viernes,05/31/2024 07:45:00 PM,8.27
19.0,CAUCA,19418,LÓPEZ DE MICAY,19418009.0,NOANAMITO (LÓPEZ DE MICAY - CAUCA),2024,5,7935.0,3763.0,36.0,Domingo,05/26/2024 07:00:00 PM,10.36
91.0,AMAZONAS,91001,LETICIA,91001000.0,LETICIA (LETICIA - AMAZONAS),2024,7,4175447.0,1065330.0,7823.49,Jueves,07/25/2024 03:30:00 PM,24.0
91.0,AMAZONAS,91540,PUERTO NARIÑO,91540000.0,PUERTO NARIÑO (PUERTO NARIÑO - AMAZONAS),2024,7,132554.0,42294.0,270.4,Miercoles,07/24/2024 06:15:00 PM,24.0
91.0,AMAZONAS,91798,TARAPACA (ANM),91798000.0,TARAPACA (TARAPACA (ANM) - AMAZONAS),2024,7,26803.0,12169.0,101.43,Lunes,07/29/2024 02:30:00 PM,10.17
